Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
Bulgaria	BGR	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																					3.52947998										4.454060078	5.429619789	5.2604599	4.950489998	4.170660019	3.44701004	2.712039948		2.81427002			3.395750046	3.394880056	4.011769772	2.325570107	4.115359783	3.912039995	3.652970076	4.204790115	4.294109821	3.915359974	3.592339993	3.523360014			3.726211098		
Bahrain	BHR	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																															2.874360085	2.575000048	2.496779919				2.64470005			2.647710025		
"Bahamas, The"	BHS	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																									2.849989891															#DIV/0!		
Bosnia and Herzegovina	BIH	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																																								#DIV/0!		
Belarus	BLR	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																								6.000010014	6.196619987				5.712259769	5.871029854	6.076960087	5.152100086		4.516729832	5.410140038	4.843820095	5.121059895	5.175940037	4.987510204	5.28675499		
Belize	BLZ	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																								5.44343996	5.028429985	5.796929836		5.206820011	5.299399853				5.687890053	6.100140095	6.620999813			6.217289925		5.985143948		
Bermuda	BMU	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS														4.107900143		3.434420109										3.034490108					3.136199951	3.150650024	3.4760499						2.152270079					1.666270018	1.775879979	1.988770008				2.615190029	2.6442101				1.782850027	2.161380029		
Bolivia	BOL	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																			4.784210205	5.608170033	4.657410145		5.523009777	5.659319878	5.473420143	5.899459839	6.230309963	6.379039764			6.313610077		7.039710045	8.081179619	7.600090027	6.888450146	6.425169945	6.257939816	7.289140224	6.986911237		
Brazil	BRA	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																				4.473169804			4.739459991	3.784719944	3.938129902	3.843029976	3.744349957		3.972539902	4.476699829	4.869890213	4.978350163	5.272699833	5.471539974	5.647359848	5.739520073	5.914309978			5.149212201		
Barbados	BRB	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS												5.632510185	6.218659878	6.15610981	6.889939785		5.945099831	6.517749786														6.601990223								4.254879951	4.621669769	5.935090065	5.763629913	6.121560097	5.903800011	5.556729794		5.116069794	5.061210155	5.327730179	5.874820232		5.624410152	5.503560066	6.711790085	5.631124496		
