Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	avg	2016
Channel Islands	CHI	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Chile	CHL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																							91.12840271										94.2911377										95.7166214						98.6490097	98.55368042		96.70301056		96.27068329		96.62754822	96.53374736	
China	CHN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																							65.50508881								77.78505707										90.92021179										95.1244812					96.35745239	95.7409668	
Cote d'Ivoire	CIV	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																													34.13927841										36.3502388		48.7407608												40.98162842			43.26531982	42.12347412	
Cameroon	CMR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																	41.21620941																								68.4091568							70.67993927			71.29051208					74.98558044	73.13804626	
"Congo, Dem. Rep."	COD	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																										67.17298889						61.20555115					75.01718903			77.22167206	76.11943054	
"Congo, Rep."	COG	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																				79.31117249				79.31117249	79.31117249	
Colombia	COL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																		91.06308746			91.20716095								92.8037796	92.84866333	92.29968262	92.6517868	93.37818146	93.24468994	93.37232971	93.58052826			94.18345642	94.57705688	93.92834282	
Comoros	COM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					47.91923141																				68.48922729														77.57327271	78.13739014	77.85533142	
Cabo Verde	CPV	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															62.79685974														80.01972198								85.32778931			88.46542358	86.89660645	
Costa Rica	CRI	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																									92.62904358																94.86818695											97.40657806				97.64724731	97.52691269	
Caribbean small states	CSS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									88.13780212										91.76071167						91.76071167	
Cuba	CUB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						97.84664917																					99.79907227										99.75253296			99.71071625	99.7316246	
Curacao	CUW	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Cayman Islands	CYM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																98.86782074									#DIV/0!	
Cyprus	CYP	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																	94.36247253									96.80362701										98.67842865				99.05977631	98.86910248	
Czech Republic	CZE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Germany	DEU	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Djibouti	DJI	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Dominica	DMA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Denmark	DNK	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Dominican Republic	DOM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						73.06456757																					86.99646759					88.24446106			89.53872681	90.10626984	90.15518188	90.85814667	91.76377106	92.46542358	90.81458664	
Algeria	DZA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																												49.63087845															69.87349701				72.64868164		75.13604736							79.60839844	79.60839844	
East Asia & Pacific (excluding high income)	EAP	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															79.74420166										90.77303314										94.75167084						94.75167084	
Early-demographic dividend	EAR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															59.51805496										69.11660767										76.50836182						76.50836182	
East Asia & Pacific	EAS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															82.05434418										91.61869049										95.10822296						95.10822296	
Europe & Central Asia (excluding high income)	ECA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															95.56775665										97.21840668										98.79963684						98.79963684	
Europe & Central Asia	ECS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															97.26078796										98.14584351										98.99758911						98.99758911	
Ecuador	ECU	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																							83.5526886								88.29875946											90.98403168						84.19271851		84.20696259	91.85404205	91.5868988	92.06472778	93.29463196	94.22264862	94.51547241	92.92307027	
"Egypt, Arab Rep."	EGY	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																	38.19675827										44.42398834										55.5870018									71.40885925	66.36991119				72.04785156		73.86559296	75.06072998		75.84262085	74.20419884	
Euro area	EMU	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Eritrea	ERI	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																											52.51395035												72.7904892	73.84525299	73.31787109	
Spain	ESP	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						92.80976868										96.49497223													97.16512299	97.75068665		97.93884277	97.6306076	97.67926788	97.74890137	97.78375244	97.89453888	98.07913208	98.09397888	98.11450958	97.95246887	
Estonia	EST	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																														99.72644043											99.76719666											99.88578796				99.82350922	99.85464859	
Ethiopia	ETH	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																			27.01136017										35.90000153	29.8203392		38.99597931								49.03152084	49.03152084	
European Union	EUU	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Fragile and conflict affected situations	FCS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									63.94719315										68.33666992						68.33666992	
