Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	avg	2016
Morocco	MAR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																							30.25779915												41.59410858										52.30625916				55.1479187	56.08367157		67.08415985				71.7105484	69.39735413	
Monaco	MCO	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Moldova	MDA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																														96.37754822											96.65380096														99.34346008	99.2443924	99.29392624	
Madagascar	MDG	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									70.68617249									64.48091125						64.65630341	64.65630341	
Maldives	MDV	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																		82.29995728								92.23004913					96.01825714					96.32649994					96.32649994						98.39790344									99.32102203	99.32102203	
Middle East & North Africa	MEA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															58.49624252										70.40315247										80.75001526						80.75001526	
Mexico	MEX	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					82.98924255										87.55615234										90.53562164		90.27465057		90.95374298	91.63027191	91.73451996	92.79517365	92.92559814	93.44187927	93.06893921	93.51998138	94.22840118	93.96285248	94.55587769	94.54559326	93.9802742	
Marshall Islands	MHL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																				98.26508331				98.26507568	98.2650795	
Middle income	MIC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															71.37111664										79.700737										84.3886795						84.3886795	
"Macedonia, FYR"	MKD	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																			94.05874634								96.12892914												97.75174713	97.84375763	97.79775238	
Mali	MLI	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																	9.433810234																						19.04496956					24			26.17654991				31.09975052	33.56093979				33.06887054	32.57652028	
Malta	MLT	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																										85.65371704										87.86869812										92.36309052						93.30735779				94.06661224	93.68698502	
Myanmar	MMR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																								78.57041168																	89.9417572														92.92315674	93.09004974	93.00660324	
Middle East & North Africa (excluding high income)	MNA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															56.03942871										68.02357483										78.43881226						78.43881226	
Montenegro	MNE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						89.63510895										93.46299744												97.77346039								98.44220734				98.71994781	98.58107758	
Mongolia	MNG	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									97.76885223										98.25700378					98.36763763	98.31232071	
Northern Mariana Islands	MNP	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Mozambique	MOZ	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					27.10177994																	38.70787811						48.15884018						50.5838089						58.83655167	58.83655167	
Mauritania	MRT	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									51.20767975							45.50378036								52.12356186	52.12356186	
Mauritius	MUS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															79.86865997										84.30309296											89.24983978	91.76600647	91.49002838		90.61604309	90.78047943	
Malawi	MWI	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																												48.53665161											64.13424683												61.30971909					65.96382904	63.63677406	
Malaysia	MYS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					69.5163269											82.91536713									88.6877594										93.1178894					94.63699341	93.87744141	
North America	NAC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Namibia	NAM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																75.81658173										85.04128265						76.48658752				89.40099335				90.82050323	90.11074829	
New Caledonia	NCL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																	91.30036926													93.08062744							96.13791656																		96.80667114	96.93782043	96.87224579	
Niger	NER	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																										14.37604046				28.6724205							15.45670033			19.1026001	17.27965021	
Nigeria	NGA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																55.44675064												54.7731781					51.07765961							59.5680809	59.5680809	
Nicaragua	NIC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																										76.67713165				78.00298309										82.47184753	82.47184753	
Netherlands	NLD	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Norway	NOR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Nepal	NPL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						20.57366943										32.97558975										48.60897064										59.62725067				64.66364288	62.14544678	
Nauru	NRU	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
New Zealand	NZL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
OECD members	OED	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Oman	OMN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																												81.36331177					86.62113953		87.20172119				91.98120117	93.97164917	91.05152384	
Other small states	OSS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															73.33837891										78.83977509										83.64996338						83.64996338	
Pakistan	PAK	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						25.72518921																	42.6993103							49.87363815	54.15121078		55.526371	54.89263916	55.37519073	54.73802185	56.76433945	55.59498978		56.44031143	55.78257065	
Panama	PAN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					88.0717392										88.77986145										91.89962006										94.09411621					95.0382309	94.56617355	
Peru	PER	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						81.91845703												87.15062714											87.66985321	87.90866852	88.69934082	89.59081268					93.84172058		93.70794678	94.3743515	93.97467295	
Philippines	PHL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					83.31723022										93.57389832										92.60005951			92.59069061					95.42009735					96.39800262		96.61802673	96.50801468	
Palau	PLW	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					91.92141724														94.4332962										96.9897995									99.52397156		99.52396393	99.52396774	
Papua New Guinea	PNG	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									57.34326172														63.09608841	63.43349075	63.26478958	
Poland	POL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																			98.74273682																99.40236664										99.61794281										99.77410889	99.78742218	99.78076553	
Pre-demographic dividend	PRE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															51.18697357										55.78520203										58.62479401						58.62479401	
Puerto Rico	PRI	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					86.74606323										89.62249756														90.52934265						91.96523285					93.329422	92.64732742	
"Korea, Dem. People’s Rep."	PRK	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																	99.9982605							99.99923706	99.99923706	
Portugal	PRT	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						79.43560791										87.94785309																				94.47705078				95.42810822	94.9525795	
Paraguay	PRY	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																							78.45861053										90.27182007															94.55821991	93.29208374	93.75424194	93.87091827				94.61672211	95.53610992	94.67458344	
West Bank and Gaza	PSE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																						86.0628891							92.27996826		93.44996643	93.88214111	94.05864716	94.59916687	94.93200684	95.26724243	95.91375732	96.2848587	96.42842102	96.66803741	95.91572062	
Pacific island small states	PSS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									86.69205475																#DIV/0!	
Post-demographic dividend	PST	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
French Polynesia	PYF	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Qatar	QAT	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																											75.63504028											83.26216125							88.96238708			93.08274078	93.98973083	94.72428894	96.28373718	96.40686798	96.67858887	97.47785187	97.74668884	97.75708771	97.05847041	
Romania	ROU	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																	96.7099762										97.29759216									98.60428619				98.75702667	98.68065643	
Russian Federation	RUS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																														97.98605347													99.44097137								99.68427277					99.71956635	99.70191956	
Rwanda	RWA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																			38.24343109													57.85348892									64.88860321										65.85227203		68.3310318			71.24349976	68.4756012	
South Asia	SAS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															46.48760223										58.0854187										66.69117737						66.69117737	
Saudi Arabia	SAU	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																	70.82164764								79.35093689				82.85774231									94.4263382		94.84236908	94.63435364	
Sudan	SDN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									61.34587097															58.60131836	58.60131836	
Senegal	SEN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																													26.86885071														39.27524948				41.89115143			49.69512939		52.05195999		42.81750107		55.62485123	50.16477076	
Singapore	SGP	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					82.90605164										89.09600067										92.54940033										95.85733032	96.17933655	96.36306	96.5401535	96.71665955	96.77462769	96.4051946	
Solomon Islands	SLB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																								76.59999847																	#DIV/0!	
Sierra Leone	SLE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																													34.82678986										47.18624115	48.43190002	47.80907059	
El Salvador	SLV	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																	74.14315796												80.77835846		83.5594635	82.02863312	83.95130157	84.10289001	84.49272156	85.49398804		86.76757813		87.64821625	86.10062599	
San Marino	SMR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Somalia	SOM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Serbia	SRB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																												96.39724731								97.96240997				98.00289154	97.98265076	
Sub-Saharan Africa (excluding high income)	SSA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									56.9764061										60.87575531						60.87575531	
South Sudan	SSD	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																	26.83127785							31.97624969	31.97624969	
Sub-Saharan Africa	SSF	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									56.98193359										60.88054657						60.88054657	
Small states	SST	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															77.28491974										81.47795868										85.65478516						85.65478516	
Sao Tome and Principe	STP	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						57.32426071										73.24241638										84.9085083							69.53639221				90.14309692			91.74710846	90.94510269	
Suriname	SUR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																													89.59806061				94.62094116		94.67575073					95.53898621	95.10736847	
Slovak Republic	SVK	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Slovenia	SVN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																99.52452087													99.6517868										99.71005249	99.71475983	99.71240616	
Sweden	SWE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Swaziland	SWZ	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																	55.32503891										67.23937988														81.66069794										83.09828949					87.47019196	85.28424072	
Sint Maarten (Dutch part)	SXM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Seychelles	SYC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																												84.22921753							87.8111496								91.8364563								93.95423126					95.32108307	94.63765717	
Syrian Arab Republic	SYR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						55.65449905																					82.88825226		80.84452057										85.91581726	86.30393219	86.10987473	
Turks and Caicos Islands	TCA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Chad	TCD	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																		10.89465046							25.65420914				28.38142967										39.04967117	40.01824188	39.53395653	
East Asia & Pacific (IDA & IBRD countries)	TEA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															79.45862579										90.64995575										94.68924713						94.68924713	
Europe & Central Asia (IDA & IBRD countries)	TEC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															95.94219971										97.45264435										98.89095306						98.89095306	
Togo	TGO	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									53.17760086						56.88837051			57.09337997		60.40993881				66.53759003	63.47376442	
Thailand	THA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					87.98175812																				92.64653778					93.50647736					96.4309082			93.70207214		93.98301697	94.70533244	
Tajikistan	TJK	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																														97.69402313											99.45124817														99.76840973	99.78105164	99.77473068	
Turkmenistan	TKM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																				98.77832031																			99.67285156	99.69293213	99.68289185	
Latin America & the Caribbean (IDA & IBRD countries)	TLA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															87.06507111										89.47367096										92.46640015						92.46640015	
Timor-Leste	TLS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																										37.59999847						50.59999847			58.30897903					64.06613922	61.18755913	
Middle East & North Africa (IDA & IBRD countries)	TMN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															55.75025177										67.76972961										78.23285675						78.23285675	
Tonga	TON	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																	99.59246063																				98.90537262										99.01846313					99.38552856				99.39785767	99.39169312	
South Asia (IDA & IBRD)	TSA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															46.48760223										58.0854187										66.69117737						66.69117737	
Sub-Saharan Africa (IDA & IBRD countries)	TSS	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															52.53158188										56.98193359										60.88054657						60.88054657	
Trinidad and Tobago	TTO	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					94.97032166										96.93855286														98.28851318										98.919487	98.9695816	98.9445343	
Tunisia	TUN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																									48.19070053										59.06180954										74.29699707			77.19039917	77.56112671		79.13057709	79.65390778	80.21875			81.05419159	80.01435661	
Turkey	TUR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																61.62768173					65.69434357					75.96823883					79.23245239														87.36549377	88.22905731	88.1193924	88.65589905		90.81671906	92.66059875	94.10608673	94.9197464	95.25666046	95.4396286	95.68810272	94.67847061	
Tuvalu	TUV	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Tanzania	TZA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																													59.11380005														69.43090057								67.80069733		78.10059357			80.35949707	75.42026265	
Uganda	UGA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																56.10737991											68.14250946				71.37313843				73.21188354		70.1982193			73.80983734	72.40664673	
Ukraine	UKR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																										99.43041229													99.75347137	99.76410675	99.75878906	
Upper middle income	UMC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															81.91884613										90.65731049										94.26898956						94.26898956	
Uruguay	URY	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																93.86106873										95.37998199											96.78180695										97.78962708	97.8638916	98.16355896	98.26789856	98.07270813	98.33589935	98.39594269	98.36386871	98.43592834	98.44210052	98.34107463	
United States	USA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Uzbekistan	UZB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									98.64257813													99.99485779	99.98055267	99.99519348	99.99020131	
St. Vincent and the Grenadines	VCT	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS											95.63215637																																														#DIV/0!	
"Venezuela, RB"	VEN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						84.73220062									89.82524872											92.97982788						95.1546402		95.51199341		94.7702179				95.39924622	95.08473206	
British Virgin Islands	VGB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Virgin Islands (U.S.)	VIR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Vietnam	VNM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																				83.82594299										87.59645081										90.27829742	90.15612793									93.52044678						94.51426697	94.51426697	
Vanuatu	VUT	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																				52.87392044															68.4600296					74					78.08097839										84.51081085	85.05867767	84.78474426	
World	WLD	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															75.8967514										81.90046692										85.31338501						85.31338501	
Samoa	WSM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																97.94432831													98.54048157							98.97325897				99.01500702	98.994133	
Kosovo	XKX	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
"Yemen, Rep."	YEM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																			37.09000015										54.1991806										68.78942108	69.96195221	69.37568665	
South Africa	ZAF	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					76.20049286																82.40209961											88.71724701		92.89485931	92.87731934	93.10214233	93.7294693		94.13990021	94.59793854	93.68935394	
Zambia	ZMB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															64.9982605									68.00179291			69.14922333					61.42829132			83.00766754					85.11726379	84.06246567	
Zimbabwe	ZWE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																							77.79416656										83.51258087																			83.58271027				86.87348175	85.22809601	
