Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
Brazil	BRA	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							11.62985992	9.600270271	11.45215988	10.61075974	9.636460304		10.39371967	11.25671959	12.42273045	13.21854973	14.08220959	14.72402	14.55990982	15.26926994	15.56960964			13.4996376		
Barbados	BRB	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																								13.14667988	13.97805977	17.25794029	15.91701031	15.66594982	15.38792992	15.3954401		15.21562958	13.42763042	13.84276009	15.56023979		13.68957996	12.15404987	14.16823006	14.31572109		
Brunei Darussalam	BRN	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							8.760890007	8.893429756	8.920740128										5.291540146	9.182189941	9.727820396		9.985910416	8.546865225		
Bhutan	BTN	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																									13.77200985	13.08500957			18.69831085	22.84906006			15.02171993	14.02075005	12.75930023	11.28501987		16.11338997	17.82472992	16.07153511		
Botswana	BWA	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																														25.8235302		26.50778961		20.47739983						24.26957321		
Central African Republic	CAF	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																								8.949319839	9.93076992		9.214730263	12.02801991	12.0644598	9.680470467	10.05424023	9.869480133	7.860000134	7.830090046	6.475379944	7.825459957				8.957447588		
Canada	CAN	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							12.52587986	12.4456501	12.74551964	12.32388973	12.23727989			12.32374954		12.42298031	12.06521034	12.42582035	12.29996014	12.18817043				12.28764852		
Central Europe and the Baltics	CEB	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							11.27880955	10.15721512	10.32351971	11.31443501	10.92234993	11.8298502	11.00592995	12.07252026	12.31940508	11.2532196	11.99994469	11.13928032	11.1089201	11.06334019	11.31258011			11.47501559		
Switzerland	CHE	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																							14.15674019	14.46078968	14.77138042	14.92362976	15.40657043	15.67910957	15.63313007	15.23223972	15.32336044	14.96232033	16.48364067	16.14196968	15.94900036	15.89852047	16.09951019			15.74707688		
Channel Islands	CHI	Expenditure on education as % of total government expenditure (%)	SE.XPD.TOTL.GB.ZS																																																								#DIV/0!		
