Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
Bhutan	BTN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																	37.17853928	34.57584	27.14300919	31.66982079		34.32677841	36.06491089	33.49314976		
Botswana	BWA	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																														45.28591156		41.95066833								43.61828995		
Central African Republic	CAF	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																		16.11222076						16.11222076		
Canada	CAN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																				18.32213974				18.32213974		
Central Europe and the Baltics	CEB	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							18.46070004			19.52910042	20.58229446	20.58471489	21.16223907	21.14265537	20.31646919	20.24064064	22.5532856	23.4012394	23.35507584	22.10224438	20.0080204			21.58687443		
Switzerland	CHE	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							26.04664993	25.29570961	24.69718933	25.29143906	26.91233063	26.67695999	25.50431061	25.43383026	23.9391098	22.92662048	28.34575081	27.02351952	26.40213966	26.01420975	26.08109093			25.74117576		
Channel Islands	CHI	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Chile	CHL	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							13.56663036		13.84829044		14.69804955	14.93377972	13.22875977	12.41895962	11.63099957	12.63193035	15.04722023	16.45671082	15.24462032	15.21796036	18.06557083	15.11493969		14.50576715		
China	CHN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								11.47498035																#DIV/0!		
Cote d'Ivoire	CIV	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								41.62273026															27.41225052	27.41225052		
Cameroon	CMR	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																														37.53520966	40.0232811	34.44467163	27.75428963	29.50626945		20.01244926	19.69957924			29.85367857		
"Congo, Dem. Rep."	COD	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																			10.22961998			5.853189945		8.041404963		
"Congo, Rep."	COG	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																											16.24085999													#DIV/0!		
Colombia	COL	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							14.31809044	16.38530922	13.14589024		13.9941597		15.35972023	14.53827953	11.01434994	9.978850365	14.7980299	15.12292004	15.19062996	14.62580013	14.96895027	16.6068306	17.33649063	14.50371378		
Comoros	COM	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																											26.44766045													#DIV/0!		
Cabo Verde	CPV	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																											22.27775955				19.62517929	16.69589043	15.77250004	14.01272964		14.92072964		16.52054977		16.2579298		
Costa Rica	CRI	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								21.47092056	18.89525986	20.59102058	22.72949982		16.78476906		16.1154995	17.17427063	18.18510056	21.77428055	23.58394051	23.62985039	24.73336983	24.53902054	24.24082947	21.0760931		
Caribbean small states	CSS	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																												20.0041008	17.53223038	18.7452507		19.91655922	26.76094055	22.9892292	23.99341965	25.77498055		29.42654037	22.97631073	23.12394015		
Cuba	CUB	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								37.11811829	41.1631813	40.53940964	44.00603867		44.19747925	47.77033997	42.75754166	53.66659927	53.88233948	51.05686188	52.23675919					49.36684581		
Curacao	CUW	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																						23.00554085		23.00554085		
Cayman Islands	CYM	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Cyprus	CYP	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								26.40998077	27.50379944	28.33917999	31.21069908	34.19926071	31.68527031	32.70318985	32.53656006	32.87828064	35.02207947	37.83958817	37.33292007	38.2970314				34.786865		
Czech Republic	CZE	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							18.90036964	20.14583015	19.50284004	19.28939056	20.65106964	21.3722496	21.16223907	20.94524002	21.12957001	20.24064064	20.84053993	23.32271957	23.31763077	23.90745926	25.39289093			22.25099225		
Germany	DEU	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							20.1030407								20.29257011	21.09132004	21.07790947	23.8578701	23.88146019	23.27444077	23.19104004			22.38094439		
Djibouti	DJI	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																	30.8100605							30.8100605		
Dominica	DMA	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																12.49888039	14.92203999	13.83388042	15.24067974					14.12387013		
